	Erlotinib	AG1024	Imatinib	Trichostatin A	Etoposide	Fascaplysin	Methotrexate	Bortezomib-batch1	Paclitaxel	PS-1145	SAHA (Vorinostat)	Ixabepilone	Cisplatin	Geldanamycin	API-2(Tricir)	Pemetrexed	Purvalanol A	Rapamycin	Sunitinib Malate	Carboplatin	Docetaxel	Oxaliplatin	Nelfinavir	17-AAG	CPT-11(FD)	Doxorubicin(FD)	Iressa	Baicalein	Sorafenib	Mebendazole	Bortezomib-batch2	Cetuximab	AKT1-2 inhibitor	AZD6244	Lestaurtinib(CEP-701)	NSC663284	Oxamflatin	SB-3CT	TCS PIM-11	Valproic acid	VX-680	5-FU	Gemcitabine	BEZ235	5-FdUR	AS-252424	Ibandronate sodium salt	LBH589	MG-132	Nilotinib	Olomoucine II	PD98059(LC Labs)	TCS2312 dihydrochloride	Sodium Dichloroacetate	Tamoxifen	TPT(FD)	FTase inhibitor I	ICRF-193	PD184352	Rafi IV (L779450)	ZM447439	Disulfiram	AG1478	Vinorelbine	Glycyl H1152	SKI-606(Bosutinib)	XRP44X	NU6102	Epirubicin	ERKi II (FR180304)	Temsirolimus(Torisel)	IKK 16	BIBW2992	TPCA-1	Everolimus	PD173074	Z-Leu-Leu-Norvalinal	4-HC	4-HC+Dox Combo	Doxorubicin	TCS JNK 5a	Methyl Glyoxol	Z-Leu-Leu-Leu-al	Herceptin	QNZ	Bromopyruvate	GM6001	TAPI-0 (IC-1)	GW5074	Chloroquine	2-deoxy-D-glucose	Chk2 inhibitor II	GW843682X	Ro 32-0432	DMSO	Sulindac sulfide	Celecoxib(Celebrex)	LY294002	CI1040	UO126
BT549	4.06E-05	3.33E-05	3.54E-05	7.38E-06	1.30E-06	5.19E-07	3.33E-04	6.13E-09	6.99E-09	1.89E-03	1.49E-04	5.46E-09	2.54E-06	5.99E-09	9.81E-06	2.92E-03	1.67E-04	4.73E-06	5.15E-06	2.46E-05	3.44E-09	1.56E-06	1.03E-05	3.07E-08	3.42E-06	1.14E-07	1.39E-05	2.30E-05	8.37E-05	4.96E-07	4.70E-09	6.85E-07	8.30E-06	5.00E-05	6.42E-07	1.58E-06	1.09E-06	6.75E-06	1.33E-04	0.00268	1.76E-06	9.74E-05	8.35E-09	3.33E-05	2.72E-04	3.33E-05	2.97E-05	1.22E-07	9.17E-08	2.00E-04	2.17E-06	4.41E-05	5.35E-07	3.33E-06	1.67E-04	2.42E-08	6.67E-05	5.00E-05	3.33E-05	3.33E-05	3.35E-06	1.28E-07	4.66E-05	9.52E-09	9.84E-06	1.11E-06	1.49E-06	2.53E-05	1.99E-07	1.00E-04	2.45E-07	3.98E-06	1.34E-06	6.67E-05	1.32E-07	7.37E-06	3.41E-07	       NA	       NA	       NA	7.33E-07	6.77E-05	1.20E-07	7.20E-06	3.33E-05	       NA	3.33E-05	3.33E-05	3.33E-05	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
MDAMB361	6.67E-05	3.33E-05	2.71E-05	8.20E-06	1.42E-05	8.11E-08	1.60E-07	2.91E-06	1.64E-08	1.89E-03	5.48E-05	2.27E-09	8.65E-06	1.67E-08	3.33E-05	6.42E-07	1.67E-04	5.98E-07	1.20E-05	4.58E-05	1.21E-08	3.49E-06	1.07E-05	5.18E-08	5.61E-06	2.35E-07	9.44E-06	1.67E-04	5.99E-05	5.81E-07	1.24E-08	6.85E-07	8.80E-07	5.00E-05	3.51E-07	5.34E-06	7.05E-07	1.67E-04	1.33E-04	0.00151	7.91E-06	1.04E-04	5.85E-09	2.07E-07	4.02E-04	1.66E-05	1.47E-05	3.45E-08	2.41E-07	2.00E-04	9.80E-06	5.05E-05	2.85E-07	3.33E-06	1.67E-04	9.23E-07	6.67E-05	4.10E-05	6.67E-05	1.75E-05	3.89E-06	2.76E-07	1.51E-05	9.97E-10	2.23E-05	1.25E-06	1.01E-06	2.60E-05	2.26E-07	2.15E-05	2.74E-07	5.73E-06	6.13E-09	7.94E-06	4.45E-09	5.02E-06	3.73E-08	       NA	       NA	       NA	1.26E-05	1.31E-03	       NA	       NA	3.33E-05	2.06E-07	3.33E-05	3.33E-05	3.33E-05	1.25E-05	       NA	1.72E-05	3.33E-05	3.33E-05	3.33E-05	1.33E-04	9.14E-04	   NA	      NA	      NA
HCC1419	6.24E-06	3.33E-05	1.80E-05	1.27E-05	6.63E-05	2.62E-07	5.70E-08	1.38E-09	9.06E-08	1.89E-03	5.33E-05	1.18E-05	1.24E-05	3.21E-08	7.37E-06	2.92E-03	1.67E-04	4.35E-09	1.90E-05	9.46E-05	1.59E-08	1.79E-05	2.21E-06	3.89E-08	2.39E-05	4.69E-07	3.16E-06	8.18E-05	1.01E-04	1.90E-05	4.30E-09	6.85E-07	9.23E-07	1.79E-05	1.14E-06	1.90E-06	1.31E-06	1.67E-04	4.95E-05	0.00118	1.56E-05	1.70E-04	1.54E-05	6.32E-08	1.86E-03	2.02E-05	7.65E-06	5.83E-08	1.57E-07	2.00E-04	4.41E-06	1.00E-04	1.08E-06	3.33E-06	1.67E-04	3.52E-07	6.67E-05	5.00E-05	3.33E-05	1.64E-05	4.77E-06	6.67E-05	1.21E-06	3.56E-07	1.71E-05	1.06E-06	1.33E-04	2.88E-05	7.11E-07	1.32E-05	5.31E-08	4.37E-06	2.98E-09	1.33E-04	3.97E-09	7.02E-06	       NA	       NA	       NA	       NA	2.00E-04	3.04E-03	       NA	2.55E-06	5.87E-09	3.75E-07	3.33E-05	3.33E-05	7.18E-07	6.68E-06	5.25E-04	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
SUM52PE	1.05E-05	3.52E-06	2.24E-05	2.65E-06	2.58E-06	1.80E-07	3.33E-04	5.22E-09	6.28E-09	7.53E-04	1.88E-05	2.92E-10	1.66E-06	1.18E-08	9.77E-06	2.92E-03	1.64E-05	3.02E-09	1.15E-06	1.94E-05	2.13E-09	3.47E-06	1.77E-05	1.64E-08	1.34E-06	9.69E-08	7.89E-06	3.78E-05	1.71E-06	1.40E-07	4.59E-09	6.85E-07	1.40E-06	9.73E-06	1.36E-07	2.41E-06	5.95E-07	4.67E-05	1.92E-05	0.0012259	3.83E-07	2.25E-05	7.09E-09	3.06E-06	3.53E-04	2.05E-05	3.41E-05	1.47E-07	7.59E-08	6.08E-05	6.40E-06	1.20E-05	3.98E-07	3.33E-06	5.25E-05	8.37E-09	1.18E-05	2.52E-06	6.67E-05	7.39E-06	3.44E-06	2.97E-05	1.67E-04	1.06E-08	8.01E-06	1.42E-06	8.63E-07	5.32E-06	3.78E-08	3.21E-05	1.50E-09	1.16E-06	3.41E-06	5.64E-07	1.86E-08	       NA	4.35E-07	1.22E-05	1.18E-05	2.52E-07	1.39E-05	1.44E-05	1.07E-07	       NA	      NA	       NA	      NA	      NA	       NA	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
HCC1187	7.52E-06	3.33E-05	2.52E-05	4.78E-06	6.15E-07	1.47E-08	2.57E-06	5.45E-09	8.97E-09	1.89E-03	1.62E-05	2.18E-09	2.13E-06	1.57E-08	4.99E-07	2.92E-03	2.36E-05	1.65E-08	5.52E-06	2.18E-05	2.48E-09	1.40E-06	1.40E-05	5.13E-06	4.44E-05	5.03E-08	2.94E-05	1.15E-05	3.21E-05	3.95E-06	1.16E-09	6.85E-07	3.73E-06	5.00E-05	7.33E-07	1.88E-06	6.48E-07	1.48E-05	3.83E-05	0.00167	1.28E-07	9.06E-05	8.47E-06	3.33E-05	1.54E-04	1.69E-06	1.70E-04	1.74E-07	7.90E-08	1.73E-04	6.55E-06	4.04E-06	1.05E-06	3.33E-06	4.33E-05	3.12E-07	3.33E-05	8.00E-07	6.67E-05	8.55E-06	4.07E-07	3.27E-07	1.67E-04	2.28E-08	6.07E-07	3.14E-06	8.83E-07	7.80E-06	4.73E-07	1.99E-05	7.98E-07	5.60E-06	       NA	2.12E-06	       NA	1.07E-05	       NA	       NA	       NA	       NA	8.30E-07	4.24E-06	       NA	       NA	      NA	       NA	      NA	      NA	       NA	       NA	       NA	6.67E-05	9.10E-06	3.33E-05	      NA	1.33E-04	1.67E-03	1.00E-04	3.33E-05	      NA
HCC3153	3.10E-05	7.71E-06	3.01E-05	2.40E-05	2.68E-06	2.81E-07	3.33E-04	1.26E-08	1.98E-08	1.89E-03	1.71E-04	6.23E-09	7.58E-06	6.59E-08	1.05E-06	2.92E-03	1.47E-04	5.64E-06	1.09E-05	3.58E-05	9.83E-09	6.47E-06	6.21E-06	1.53E-07	1.86E-05	3.33E-07	3.33E-05	2.06E-05	4.87E-05	2.06E-07	5.30E-09	6.85E-07	9.75E-06	5.00E-05	8.70E-06	2.29E-06	1.52E-06	1.00E-04	1.33E-04	0.0027898	1.91E-05	3.51E-04	6.44E-08	6.46E-07	7.84E-04	6.67E-05	8.98E-05	2.94E-07	1.43E-07	2.00E-04	3.10E-06	7.93E-05	4.89E-07	3.33E-06	1.67E-04	2.09E-07	3.33E-05	3.33E-05	3.33E-05	3.33E-05	1.00E-04	7.48E-06	1.67E-04	5.14E-08	3.33E-05	6.56E-06	1.81E-06	1.57E-05	6.49E-07	3.33E-05	2.32E-05	3.30E-06	       NA	1.39E-05	1.42E-05	1.71E-05	5.00E-07	1.78E-05	1.47E-05	1.11E-07	1.89E-06	1.70E-04	1.47E-07	       NA	4.15E-07	1.97E-08	3.33E-05	3.33E-05	3.33E-05	6.65E-05	       NA	6.67E-05	3.33E-05	3.33E-05	      NA	1.33E-04	1.67E-03	   NA	      NA	      NA
HS578T	6.67E-05	3.33E-05	8.01E-05	1.69E-05	5.97E-06	1.04E-06	3.33E-04	1.56E-08	4.14E-09	1.89E-03	2.97E-04	2.40E-09	6.99E-06	5.28E-08	3.33E-05	2.56E-05	1.67E-04	4.50E-05	4.22E-06	7.92E-05	1.74E-09	1.80E-05	8.53E-06	1.09E-07	3.16E-05	4.87E-07	1.72E-05	4.80E-05	1.00E-03	3.50E-07	9.06E-09	6.85E-07	1.28E-05	1.78E-05	1.02E-06	2.01E-06	1.38E-06	3.82E-05	6.67E-05	0.00475	2.71E-07	4.56E-05	2.21E-06	3.33E-05	3.04E-04	8.66E-06	9.42E-06	2.79E-07	2.30E-07	2.00E-04	6.61E-06	5.00E-05	7.96E-07	3.33E-06	1.67E-04	1.57E-05	3.33E-05	2.32E-06	6.67E-05	2.06E-05	1.31E-06	3.67E-06	8.70E-05	1.03E-08	1.50E-06	1.59E-06	9.96E-07	2.02E-05	3.66E-07	3.33E-05	2.19E-05	2.98E-06	       NA	3.35E-06	       NA	4.90E-06	5.59E-07	1.64E-05	1.12E-05	1.22E-07	8.51E-07	2.18E-04	2.26E-07	       NA	      NA	2.24E-07	      NA	      NA	       NA	4.53E-06	6.91E-04	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
MCF7	6.67E-05	3.33E-05	1.52E-05	6.63E-06	7.35E-06	1.92E-07	4.58E-08	1.77E-08	1.62E-08	1.89E-03	6.47E-05	3.63E-10	2.21E-05	2.42E-07	9.27E-07	2.92E-03	5.17E-05	1.45E-07	5.88E-06	2.29E-04	1.22E-08	4.92E-06	1.57E-05	5.59E-07	2.28E-05	7.68E-07	3.33E-05	5.00E-05	6.47E-05	6.07E-07	3.11E-08	6.85E-07	1.68E-06	5.00E-05	1.43E-06	3.68E-06	1.81E-06	1.00E-04	1.33E-04	0.00228	8.28E-06	4.29E-05	1.69E-05	3.33E-05	1.68E-04	1.57E-05	4.88E-05	8.02E-08	3.38E-07	2.00E-04	5.89E-06	5.00E-05	1.00E-06	3.33E-06	1.67E-04	1.30E-06	3.33E-05	3.33E-05	3.33E-05	3.33E-05	3.33E-05	3.53E-05	8.96E-05	1.42E-08	2.14E-05	2.55E-06	4.01E-07	2.36E-05	3.51E-07	3.33E-05	1.57E-06	       NA	       NA	       NA	3.44E-07	       NA	8.61E-07	1.80E-05	1.47E-05	2.46E-07	1.33E-04	1.09E-03	1.59E-07	7.20E-06	3.27E-07	3.27E-07	3.33E-05	3.33E-05	3.33E-05	8.48E-06	3.33E-03	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
MDAMB415	6.67E-05	3.33E-05	2.30E-05	1.85E-05	2.76E-05	6.01E-08	3.33E-04	4.01E-08	6.65E-09	1.89E-03	1.10E-04	3.93E-09	1.44E-04	2.99E-08	4.48E-07	2.92E-03	1.67E-04	2.05E-09	5.58E-06	1.63E-04	3.33E-09	2.93E-05	5.65E-06	3.54E-08	1.14E-05	3.02E-07	8.05E-06	1.67E-04	1.09E-04	5.25E-07	1.80E-08	6.85E-07	1.99E-06	1.09E-05	3.45E-07	2.56E-06	6.05E-07	1.71E-05	1.33E-04	0.0008615	2.64E-06	2.20E-04	8.83E-07	1.62E-07	3.19E-05	3.33E-05	5.10E-05	2.17E-08	8.26E-08	2.00E-04	4.77E-06	2.54E-05	4.12E-07	3.33E-06	3.38E-05	1.85E-07	6.67E-05	4.04E-06	3.33E-05	2.56E-05	3.56E-06	1.30E-05	1.67E-04	1.85E-08	9.26E-06	1.85E-06	6.26E-07	2.62E-05	2.65E-07	1.00E-04	4.33E-09	       NA	1.38E-06	       NA	7.62E-09	       NA	2.42E-06	1.90E-05	1.27E-05	1.79E-07	4.71E-07	       NA	1.66E-06	7.20E-06	      NA	4.79E-08	      NA	      NA	       NA	6.80E-06	3.33E-03	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
MDAMB175VII	3.05E-06	1.51E-05	9.71E-06	5.04E-06	6.46E-05	2.10E-07	3.33E-04	5.03E-09	1.82E-08	1.72E-03	5.10E-05	9.40E-08	4.27E-06	1.77E-08	6.90E-06	8.00E-09	7.60E-05	3.71E-09	6.56E-06	3.64E-05	1.60E-08	3.63E-06	7.07E-06	4.03E-08	6.75E-05	3.30E-07	2.85E-07	1.09E-04	3.48E-05	2.50E-07	1.72E-08	6.85E-07	1.77E-06	2.56E-06	8.10E-07	5.02E-06	3.87E-06	1.00E-04	1.33E-04	0.00109	1.91E-05	1.09E-04	7.55E-09	3.46E-07	2.04E-05	5.11E-06	3.41E-05	3.87E-07	2.21E-07	2.00E-04	7.18E-06	1.40E-05	1.48E-06	3.33E-06	1.67E-04	1.11E-06	3.33E-05	5.00E-05	3.15E-05	8.21E-06	5.51E-06	9.59E-08	8.41E-07	3.92E-08	6.67E-05	8.49E-07	3.62E-06	5.28E-05	8.95E-08	8.28E-06	2.18E-05	       NA	4.50E-09	       NA	7.86E-06	       NA	6.79E-07	8.25E-06	7.68E-06	1.06E-07	1.33E-04	2.60E-03	2.53E-07	       NA	      NA	       NA	      NA	      NA	       NA	       NA	       NA	3.32E-05	3.33E-05	3.33E-05	      NA	1.01E-04	      NA	   NA	      NA	      NA
AU565	1.18E-05	3.33E-05	1.92E-05	3.66E-06	6.38E-07	1.13E-07	4.38E-06	4.76E-09	7.28E-09	1.89E-03	8.41E-05	3.76E-09	1.89E-06	4.42E-08	1.35E-07	2.92E-03	4.04E-05	2.41E-08	3.77E-06	1.11E-05	4.96E-09	2.76E-06	3.33E-05	5.73E-08	1.47E-06	9.44E-08	1.06E-06	4.19E-05	1.16E-04	1.10E-07	3.07E-09	6.85E-07	2.46E-06	5.00E-05	8.46E-07	1.56E-06	6.47E-07	1.00E-04	6.67E-05	0.00141	2.17E-06	2.06E-05	1.55E-08	2.56E-07	1.07E-05	1.33E-05	1.80E-04	1.05E-07	8.82E-08	2.00E-04	4.66E-06	7.51E-06	2.73E-07	3.33E-06	8.81E-05	1.88E-08	3.33E-05	7.28E-07	3.33E-05	3.33E-05	1.51E-06	1.46E-07	1.64E-05	5.81E-09	7.22E-06	2.12E-06	4.43E-07	2.29E-05	1.43E-07	3.33E-05	       NA	2.61E-06	       NA	6.67E-05	       NA	7.49E-06	4.61E-07	5.56E-06	5.55E-06	4.16E-08	1.33E-04	1.43E-04	2.71E-07	7.20E-06	1.31E-05	       NA	3.33E-05	3.33E-05	3.33E-05	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
SUM159PT	1.17E-05	3.33E-05	1.78E-05	5.89E-06	7.79E-07	4.30E-07	3.33E-04	7.24E-09	5.71E-09	3.15E-20	1.19E-04	6.97E-09	3.98E-06	6.10E-09	1.62E-05	2.92E-03	1.67E-04	4.53E-08	1.54E-06	2.82E-05	1.68E-09	2.52E-06	1.73E-05	3.47E-08	4.30E-06	1.68E-07	8.49E-06	1.51E-04	2.17E-05	2.03E-07	1.31E-09	6.85E-07	7.61E-06	2.19E-07	2.83E-07	1.74E-06	3.15E-07	1.40E-05	3.44E-05	0.00122	3.39E-07	2.10E-05	1.02E-08	3.63E-08	3.21E-05	5.91E-06	4.23E-05	1.31E-07	5.33E-08	2.00E-04	4.81E-06	9.40E-05	5.25E-07	3.33E-06	1.17E-04	2.26E-07	9.95E-06	2.92E-07	4.65E-07	1.65E-05	7.24E-07	2.26E-07	1.72E-05	1.23E-08	1.74E-06	1.37E-06	6.20E-07	1.27E-05	1.39E-07	3.33E-05	       NA	1.59E-06	2.59E-06	1.88E-06	4.38E-07	6.33E-06	1.87E-07	       NA	       NA	       NA	       NA	       NA	5.55E-08	       NA	3.33E-05	       NA	3.33E-05	3.33E-05	3.33E-05	       NA	       NA	6.67E-05	7.22E-06	3.33E-05	      NA	1.33E-04	1.67E-03	   NA	      NA	      NA
