	Erlotinib	AG1024	Imatinib	Trichostatin A	Etoposide	Fascaplysin	Methotrexate	Bortezomib-batch1	Paclitaxel	PS-1145	SAHA (Vorinostat)	Ixabepilone	Cisplatin	Geldanamycin	API-2(Tricir)	Pemetrexed	Purvalanol A	Rapamycin	Sunitinib Malate	Carboplatin	Docetaxel	Oxaliplatin	Nelfinavir	17-AAG	CPT-11(FD)	Doxorubicin(FD)	Iressa	Baicalein	Sorafenib	Mebendazole	Bortezomib-batch2	Cetuximab	AKT1-2 inhibitor	AZD6244	Lestaurtinib(CEP-701)	NSC663284	Oxamflatin	SB-3CT	TCS PIM-11	Valproic acid	VX-680	5-FU	Gemcitabine	BEZ235	5-FdUR	AS-252424	Ibandronate sodium salt	LBH589	MG-132	Nilotinib	Olomoucine II	PD98059(LC Labs)	TCS2312 dihydrochloride	Sodium Dichloroacetate	Tamoxifen	TPT(FD)	FTase inhibitor I	ICRF-193	PD184352	Rafi IV (L779450)	ZM447439	Disulfiram	AG1478	Vinorelbine	Glycyl H1152	SKI-606(Bosutinib)	XRP44X	NU6102	Epirubicin	ERKi II (FR180304)	Temsirolimus(Torisel)	IKK 16	BIBW2992	TPCA-1	Everolimus	PD173074	Z-Leu-Leu-Norvalinal	4-HC	4-HC+Dox Combo	Doxorubicin	TCS JNK 5a	Methyl Glyoxol	Z-Leu-Leu-Leu-al	Herceptin	QNZ	Bromopyruvate	GM6001	TAPI-0 (IC-1)	GW5074	Chloroquine	2-deoxy-D-glucose	Chk2 inhibitor II	GW843682X	Ro 32-0432	DMSO	Sulindac sulfide	Celecoxib(Celebrex)	LY294002	CI1040	UO126
HCC70	1.72E-06	6.21E-06	1.71E-05	1.44E-05	1.30E-05	1.25E-07	3.33E-04	2.51E-09	9.33E-09	1.89E-03	3.44E-05	1.41E-09	1.57E-06	8.06E-08	       NA	2.92E-03	1.67E-04	1.20E-07	2.49E-06	1.50E-05	3.25E-09	4.17E-06	1.76E-05	2.39E-07	1.08E-05	4.32E-06	8.91E-06	4.95E-05	3.58E-05	1.39E-07	3.48E-10	6.85E-07	1.81E-06	1.79E-06	1.93E-07	3.03E-06	4.37E-07	1.67E-04	3.40E-05	0.0010297	2.52E-06	1.03E-04	2.62E-05	1.60E-07	2.15E-04	2.14E-05	6.26E-05	7.81E-08	6.46E-08	2.00E-04	3.39E-06	5.00E-05	2.97E-07	      NA	1.67E-04	5.06E-07	6.67E-05	5.00E-05	1.24E-05	3.21E-05	1.41E-06	6.67E-05	6.19E-05	2.18E-08	9.15E-07	9.32E-07	1.07E-06	1.97E-05	4.49E-07	2.89E-05	3.26E-07	2.89E-06	4.65E-07	3.60E-06	1.10E-07	7.00E-06	2.13E-07	8.15E-06	5.41E-06	5.41E-08	       NA	1.14E-03	9.08E-08	       NA	5.51E-08	       NA	5.13E-06	1.93E-06	3.33E-05	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
MDAMB468D	6.74E-06	3.33E-05	1.41E-05	1.94E-05	1.65E-06	1.22E-07	2.64E-08	1.63E-08	8.43E-09	1.89E-03	1.93E-04	1.94E-09	       NA	       NA	2.54E-06	5.00E-05	2.90E-05	2.17E-06	4.40E-06	       NA	2.12E-09	       NA	2.32E-05	       NA	       NA	       NA	       NA	2.87E-05	6.86E-05	3.04E-07	5.29E-09	       NA	9.87E-06	5.00E-05	4.08E-07	6.47E-06	2.72E-06	1.00E-04	1.33E-04	0.00377	1.11E-07	       NA	       NA	3.33E-05	6.00E-04	6.67E-05	9.34E-05	2.32E-07	2.57E-07	2.00E-04	5.55E-06	4.76E-05	8.57E-07	3.33E-06	       NA	       NA	3.33E-05	1.07E-05	3.33E-05	1.25E-05	6.59E-07	2.22E-06	       NA	       NA	2.05E-06	2.59E-06	1.18E-06	1.41E-05	       NA	2.70E-05	5.60E-06	1.46E-06	6.32E-07	1.15E-06	8.83E-07	6.65E-06	5.61E-07	5.85E-06	5.65E-06	8.21E-08	       NA	5.84E-04	2.64E-07	       NA	3.33E-05	       NA	3.33E-05	3.33E-05	       NA	       NA	       NA	      NA	      NA	      NA	3.33E-05	      NA	      NA	   NA	      NA	      NA
T47DKBLUC	6.67E-05	3.33E-05	2.12E-05	3.94E-06	1.62E-06	4.88E-08	2.68E-07	2.99E-07	1.43E-08	1.89E-03	1.03E-04	2.45E-08	       NA	       NA	       NA	2.92E-03	1.67E-04	2.26E-06	7.61E-06	       NA	1.17E-08	       NA	3.33E-05	       NA	       NA	       NA	       NA	9.91E-05	4.15E-05	2.63E-05	1.86E-08	       NA	4.86E-06	5.00E-05	6.81E-06	4.19E-06	1.26E-06	1.67E-04	1.33E-04	0.00173	3.23E-05	       NA	       NA	3.33E-05	1.60E-03	3.33E-05	1.19E-04	1.33E-07	1.71E-07	2.00E-04	       NA	5.00E-05	       NA	3.33E-06	       NA	       NA	6.67E-05	3.33E-05	3.33E-05	       NA	5.00E-05	1.01E-07	       NA	       NA	6.67E-05	3.33E-05	       NA	3.68E-05	       NA	1.00E-04	2.78E-05	4.18E-06	3.53E-06	1.33E-04	9.90E-06	1.28E-05	9.73E-07	6.83E-06	6.52E-06	9.70E-08	2.00E-04	1.51E-03	3.19E-07	       NA	      NA	5.29E-08	      NA	      NA	       NA	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
BT20	2.01E-06	3.33E-05	1.30E-05	2.07E-05	3.34E-06	3.12E-07	3.33E-04	4.69E-08	       NA	1.89E-03	1.81E-04	3.52E-09	       NA	       NA	5.49E-06	2.92E-03	2.72E-05	6.71E-08	1.64E-05	       NA	       NA	       NA	6.92E-06	       NA	       NA	       NA	       NA	8.86E-05	6.27E-05	6.45E-07	9.01E-09	6.85E-07	8.12E-06	5.00E-05	2.92E-06	3.26E-06	3.80E-06	6.14E-05	1.33E-04	0.0035992	4.54E-06	       NA	       NA	2.54E-06	3.20E-04	1.17E-05	2.05E-05	3.86E-07	4.24E-07	6.13E-05	3.69E-06	3.58E-05	1.88E-06	3.33E-06	       NA	       NA	3.33E-05	5.00E-05	6.67E-05	2.39E-05	4.68E-06	5.00E-08	       NA	       NA	6.57E-06	1.28E-06	5.08E-06	       NA	       NA	2.80E-05	6.67E-07	3.77E-06	2.76E-06	1.47E-06	       NA	1.07E-05	3.04E-07	4.69E-05	3.38E-05	3.31E-07	9.58E-07	       NA	5.28E-08	7.20E-06	3.33E-05	       NA	3.33E-05	5.72E-06	       NA	       NA	       NA	3.89E-05	3.33E-05	3.33E-05	3.33E-05	1.33E-04	      NA	   NA	      NA	      NA
MDAMB436D	6.67E-05	3.33E-05	1.77E-05	2.30E-05	1.31E-06	3.60E-07	3.33E-04	2.86E-08	       NA	1.89E-03	1.60E-04	6.30E-09	       NA	       NA	3.40E-06	2.92E-03	1.67E-04	       NA	3.56E-06	       NA	       NA	       NA	3.19E-06	       NA	       NA	       NA	       NA	3.38E-05	5.17E-05	1.04E-06	1.86E-08	       NA	2.23E-05	5.00E-05	1.37E-06	3.43E-06	4.82E-06	1.67E-04	1.33E-04	0.0124	6.42E-07	       NA	       NA	3.33E-05	4.47E-03	8.01E-06	1.61E-05	3.03E-07	1.45E-07	2.00E-04	8.73E-06	5.00E-05	4.09E-07	3.33E-06	       NA	       NA	6.67E-05	5.00E-05	3.33E-05	2.08E-06	1.90E-06	2.33E-06	       NA	       NA	       NA	4.07E-06	1.17E-06	2.05E-05	       NA	1.00E-04	3.46E-05	2.79E-06	3.69E-06	6.91E-06	       NA	6.39E-06	       NA	       NA	       NA	       NA	       NA	1.40E-03	       NA	       NA	1.02E-08	7.55E-08	3.33E-05	3.33E-05	3.33E-05	9.41E-06	3.33E-03	      NA	      NA	      NA	3.33E-05	      NA	      NA	   NA	      NA	      NA
MX1	6.91E-06	3.33E-05	2.24E-05	1.62E-05	4.61E-07	2.97E-07	1.52E-08	8.64E-09	       NA	1.89E-03	8.78E-05	2.93E-09	       NA	       NA	1.93E-07	2.92E-03	1.67E-04	1.68E-06	5.40E-06	       NA	       NA	       NA	7.05E-06	       NA	       NA	       NA	       NA	2.18E-05	       NA	3.76E-07	6.68E-09	       NA	3.54E-06	4.55E-07	6.73E-08	6.72E-07	4.76E-07	1.42E-05	1.86E-05	0.000356	1.55E-07	       NA	       NA	3.33E-05	1.45E-03	2.20E-05	1.16E-04	3.36E-08	1.33E-07	2.00E-04	5.82E-06	4.11E-05	1.95E-07	3.33E-06	       NA	       NA	3.33E-05	1.12E-06	9.61E-06	1.05E-05	4.48E-07	2.87E-05	       NA	       NA	1.09E-06	4.17E-07	9.12E-07	3.41E-06	       NA	3.33E-05	3.57E-06	       NA	2.65E-07	       NA	4.66E-06	       NA	8.98E-07	5.85E-06	7.71E-06	1.56E-07	1.34E-06	5.19E-04	3.97E-07	       NA	      NA	3.20E-08	      NA	      NA	       NA	9.88E-06	       NA	3.20E-05	3.33E-05	3.33E-05	      NA	      NA	3.33E-05	   NA	      NA	      NA
UACC893D	1.28E-05	3.33E-05	1.38E-05	2.91E-06	5.44E-05	2.69E-07	3.33E-04	1.92E-08	       NA	1.89E-03	3.59E-05	7.60E-09	       NA	       NA	2.74E-06	2.92E-03	1.67E-04	       NA	9.65E-06	       NA	       NA	       NA	6.31E-06	       NA	       NA	       NA	       NA	1.52E-04	1.00E-03	3.22E-07	       NA	       NA	9.66E-07	4.27E-07	1.80E-06	3.02E-06	4.65E-07	1.67E-04	1.33E-04	0.00154	1.72E-05	       NA	       NA	6.74E-08	1.32E-04	2.69E-05	3.38E-05	4.37E-08	2.03E-07	2.00E-04	4.94E-06	       NA	1.00E-06	3.33E-06	       NA	       NA	       NA	       NA	1.08E-05	1.72E-05	5.00E-05	9.81E-06	       NA	       NA	6.67E-05	1.64E-06	1.01E-06	4.15E-05	       NA	       NA	1.11E-06	4.11E-06	3.51E-09	9.94E-06	2.86E-08	6.84E-06	8.41E-06	5.65E-06	1.59E-06	6.18E-08	8.62E-05	9.89E-04	5.45E-06	       NA	      NA	2.17E-07	      NA	      NA	3.33E-05	2.26E-06	1.63E-04	      NA	      NA	      NA	3.33E-05	      NA	      NA	   NA	      NA	      NA
SUM225CWN	1.30E-05	7.27E-06	1.27E-05	1.38E-05	1.02E-05	5.65E-08	3.33E-04	1.00E-08	       NA	1.89E-03	1.45E-04	1.09E-06	       NA	       NA	6.49E-07	2.92E-03	4.34E-05	1.06E-08	6.11E-06	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	3.68E-05	2.51E-05	       NA	7.85E-09	       NA	6.94E-07	5.00E-05	9.43E-07	2.30E-06	8.67E-07	1.00E-04	2.96E-05	0.0017228	1.73E-05	       NA	       NA	2.08E-07	2.94E-04	3.36E-06	5.01E-04	1.09E-07	9.66E-08	2.00E-04	5.26E-06	2.29E-05	8.21E-07	      NA	       NA	       NA	3.22E-05	3.33E-05	3.33E-05	7.05E-06	1.05E-05	       NA	       NA	       NA	6.67E-05	1.54E-06	3.13E-06	5.01E-05	       NA	2.40E-05	2.54E-06	3.09E-06	9.30E-09	7.52E-05	2.40E-08	1.34E-05	       NA	       NA	       NA	       NA	1.39E-05	       NA	       NA	       NA	      NA	       NA	      NA	      NA	       NA	       NA	       NA	6.67E-05	3.33E-05	3.33E-05	      NA	4.12E-13	1.67E-03	   NA	      NA	      NA
MB157	6.06E-08	3.33E-05	2.17E-05	8.85E-06	2.80E-07	1.89E-07	5.79E-09	1.25E-08	       NA	1.89E-03	7.76E-05	6.06E-09	       NA	       NA	6.92E-06	3.16E-07	       NA	1.73E-07	2.69E-06	       NA	       NA	       NA	       NA	1.38E-07	3.72E-06	8.75E-08	4.97E-06	       NA	2.45E-04	       NA	       NA	       NA	1.28E-05	1.03E-07	9.22E-07	2.48E-06	6.84E-07	1.67E-04	1.33E-04	0.00463	8.46E-08	       NA	       NA	1.46E-07	8.29E-06	3.33E-05	1.05E-04	7.73E-08	2.27E-07	2.00E-04	7.26E-06	5.00E-05	3.34E-07	      NA	9.11E-05	1.22E-08	6.67E-05	3.33E-05	7.58E-06	1.25E-05	6.04E-07	       NA	       NA	       NA	1.87E-06	1.71E-07	1.17E-06	1.37E-05	       NA	       NA	2.23E-07	       NA	1.01E-08	       NA	4.83E-08	       NA	       NA	       NA	       NA	       NA	1.72E-04	       NA	       NA	       NA	      NA	       NA	      NA	      NA	       NA	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
MDAMB468L	1.48E-05	2.18E-06	2.64E-06	7.57E-06	3.64E-06	5.13E-08	3.33E-04	8.16E-09	       NA	       NA	       NA	8.59E-10	       NA	       NA	7.13E-07	       NA	1.46E-05	1.56E-06	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	      NA	       NA	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
MDAMB436L	4.42E-05	3.29E-06	1.80E-05	2.02E-05	6.81E-07	4.80E-07	2.00E-08	8.69E-09	       NA	1.89E-03	2.05E-04	       NA	       NA	       NA	2.39E-06	2.92E-03	1.67E-04	       NA	1.88E-05	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	1.32E-05	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	      NA	       NA	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
UACC893L	8.58E-06	2.21E-06	5.65E-04	1.14E-06	1.26E-05	1.02E-07	5.04E-05	6.47E-10	       NA	1.89E-03	8.45E-06	1.77E-10	       NA	       NA	8.19E-07	       NA	8.64E-06	       NA	8.72E-07	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	2.70E-05	3.33E-04	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	8.17E-06	       NA	9.22E-11	       NA	8.58E-06	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	6.14E-09	       NA	      NA	3.21E-07	       NA	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
UACC812	1.23E-05	3.33E-05	1.04E-05	8.93E-06	       NA	       NA	       NA	       NA	8.26E-09	1.89E-03	4.26E-05	5.69E-06	3.28E-06	1.06E-08	       NA	2.92E-03	       NA	4.67E-08	       NA	1.72E-05	4.08E-09	1.40E-06	3.33E-05	1.10E-08	3.26E-06	7.50E-08	9.06E-07	6.39E-05	       NA	1.25E-05	       NA	6.85E-07	3.55E-06	5.00E-05	1.79E-06	2.52E-06	1.78E-06	1.00E-04	1.33E-04	0.00255	1.64E-05	4.60E-05	1.77E-08	2.03E-06	7.80E-05	1.32E-05	1.47E-04	1.30E-07	1.92E-07	2.00E-04	6.47E-06	2.25E-05	1.03E-06	3.33E-06	       NA	4.99E-08	3.33E-05	3.33E-05	6.67E-05	1.25E-05	3.90E-06	9.24E-08	       NA	7.34E-08	2.58E-05	2.78E-06	7.01E-07	3.83E-05	       NA	2.74E-05	6.10E-07	8.12E-06	2.81E-09	1.18E-04	3.23E-08	7.22E-06	1.05E-06	7.91E-06	1.06E-05	2.29E-07	1.06E-06	1.42E-03	3.39E-07	9.95E-07	      NA	7.84E-08	      NA	      NA	       NA	       NA	       NA	6.67E-05	3.33E-05	3.33E-05	3.33E-05	1.33E-04	1.67E-03	   NA	      NA	      NA
HBL100	6.67E-05	3.33E-05	2.38E-05	       NA	2.13E-06	5.46E-07	3.33E-04	4.49E-08	4.44E-09	       NA	       NA	       NA	8.87E-06	2.54E-08	3.33E-05	       NA	2.51E-05	5.76E-05	4.59E-06	7.12E-05	1.78E-09	2.25E-06	       NA	1.08E-06	3.13E-06	4.27E-08	1.14E-05	       NA	4.65E-05	       NA	       NA	6.85E-07	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	7.07E-05	2.29E-08	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	4.78E-05	1.36E-08	       NA	       NA	       NA	       NA	       NA	       NA	1.67E-04	9.64E-09	       NA	       NA	       NA	       NA	1.31E-07	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	7.20E-06	      NA	       NA	      NA	      NA	       NA	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
21NT	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	2.70E-05	       NA	       NA	       NA	       NA	       NA	       NA	8.40E-07	2.52E-06	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	3.33E-06	       NA	       NA	       NA	       NA	       NA	       NA	       NA	1.91E-05	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	2.59E-07	6.27E-06	7.79E-06	1.82E-07	       NA	5.35E-04	9.58E-08	       NA	      NA	       NA	      NA	      NA	       NA	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
ZR7530	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	2.18E-08	       NA	       NA	       NA	2.63E-06	7.14E-09	       NA	       NA	       NA	       NA	       NA	2.79E-05	3.99E-09	6.29E-04	1.83E-06	       NA	7.38E-05	1.10E-07	       NA	       NA	       NA	4.46E-07	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	3.33E-06	       NA	       NA	       NA	       NA	       NA	       NA	       NA	9.00E-08	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	1.67E-04	1.67E-04	1.47E-10	       NA	       NA	       NA	       NA	      NA	       NA	      NA	      NA	       NA	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
21MT1	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	1.36E-05	       NA	       NA	       NA	       NA	       NA	       NA	1.81E-05	1.53E-06	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	3.33E-06	       NA	       NA	       NA	       NA	       NA	       NA	       NA	6.67E-05	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	3.72E-07	2.47E-05	2.04E-05	2.43E-07	       NA	8.43E-04	9.97E-08	       NA	      NA	       NA	      NA	      NA	       NA	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
SUM44PE	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	5.49E-10	       NA	       NA	       NA	       NA	       NA	1.43E-09	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	9.36E-08	3.71E-07	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	      NA	       NA	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
MDAMB436	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	2.22E-08	       NA	       NA	       NA	1.00E-05	7.05E-08	       NA	       NA	       NA	1.42E-04	       NA	5.14E-05	8.53E-09	3.48E-05	       NA	1.10E-06	6.65E-06	5.14E-07	3.33E-05	       NA	       NA	       NA	       NA	6.85E-07	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	1.07E-03	3.25E-08	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	3.06E-05	2.24E-08	       NA	       NA	       NA	       NA	       NA	       NA	8.05E-05	2.71E-08	       NA	       NA	       NA	       NA	1.19E-06	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	      NA	       NA	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	1.00E-04	      NA	6.67E-05
MDAMB468	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	8.61E-09	       NA	       NA	       NA	5.43E-06	1.82E-08	       NA	       NA	       NA	1.79E-05	       NA	4.84E-05	2.27E-09	4.23E-05	       NA	2.29E-06	3.24E-05	7.41E-07	1.89E-05	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	2.41E-04	9.81E-08	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	2.20E-08	       NA	       NA	       NA	       NA	       NA	       NA	1.67E-04	9.79E-09	       NA	       NA	       NA	       NA	7.09E-07	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	      NA	       NA	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
UACC893	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	1.18E-08	       NA	       NA	       NA	1.74E-04	7.25E-09	       NA	       NA	       NA	1.67E-04	       NA	9.17E-04	1.70E-08	1.47E-04	       NA	1.71E-08	6.04E-05	7.32E-07	1.15E-06	       NA	       NA	       NA	       NA	6.85E-07	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	3.56E-04	2.86E-04	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	1.92E-05	2.56E-07	       NA	       NA	       NA	       NA	       NA	       NA	4.08E-07	1.09E-08	       NA	       NA	       NA	       NA	7.79E-07	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	5.38E-06	      NA	       NA	      NA	      NA	       NA	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
21PT	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	1.93E-08	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	      NA	       NA	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
JIMT1	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	1.34E-08	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	      NA	       NA	       NA	       NA	      NA	      NA	      NA	3.33E-05	      NA	      NA	   NA	      NA	      NA
