	Erlotinib	AG1024	Imatinib	Trichostatin A	Etoposide	Fascaplysin	Methotrexate	Bortezomib-batch1	Paclitaxel	PS-1145	SAHA (Vorinostat)	Ixabepilone	Cisplatin	Geldanamycin	API-2(Tricir)	Pemetrexed	Purvalanol A	Rapamycin	Sunitinib Malate	Carboplatin	Docetaxel	Oxaliplatin	Nelfinavir	17-AAG	CPT-11(FD)	Doxorubicin(FD)	Iressa	Baicalein	Sorafenib	Mebendazole	Bortezomib-batch2	Cetuximab	AKT1-2 inhibitor	AZD6244	Lestaurtinib(CEP-701)	NSC663284	Oxamflatin	SB-3CT	TCS PIM-11	VX-680	Gemcitabine	BEZ235	5-FdUR	AS-252424	LBH589	MG-132	Nilotinib	Olomoucine II	PD98059(LC Labs)	TCS2312 dihydrochloride	Sodium Dichloroacetate	Tamoxifen	TPT(FD)	FTase inhibitor I	ICRF-193	PD184352	Rafi IV (L779450)	ZM447439	Disulfiram	AG1478	Vinorelbine	Glycyl H1152	SKI-606(Bosutinib)	XRP44X	NU6102	Epirubicin	ERKi II (FR180304)	Temsirolimus(Torisel)	IKK 16	BIBW2992	TPCA-1	Everolimus	PD173074	Z-Leu-Leu-Norvalinal	4-HC	4-HC+Dox Combo	Doxorubicin	TCS JNK 5a	Valproic acid	Z-Leu-Leu-Leu-al	Methyl Glyoxol	5-FU	Herceptin	QNZ	Bromopyruvate	GM6001	TAPI-0 (IC-1)	GW5074	Chloroquine	Ibandronate sodium salt	Chk2 inhibitor II	GW843682X	Ro 32-0432	DMSO	Sulindac sulfide	LY294002	CI1040	UO126	Celecoxib(Celebrex)	2-deoxy-D-glucose
SKBR3	6.67E-05	3.33E-05	4.62E-05	2.03E-05	1.42E-05	1.62E-06	3.33E-04	2.86E-08	4.31E-08	1.89E-03	1.60E-04	2.73E-08	6.14E-05	1.00E-04	8.79E-06	2.92E-03	1.67E-04	1.67E-04	1.96E-05	4.55E-05	3.22E-08	1.85E-05	2.83E-05	1.00E-04	4.49E-05	5.11E-07	3.33E-05	1.67E-04	1.00E-03	6.67E-05	2.21E-08	6.85E-07	4.98E-05	5.00E-05	1.66E-05	4.20E-06	5.78E-06	1.00E-04	1.33E-04	3.33E-05	1.45E-04	3.33E-05	5.00E-03	6.67E-05	7.09E-08	5.46E-07	2.00E-04	2.28E-05	1.00E-04	2.56E-06	3.33E-06	1.67E-04	3.87E-07	3.33E-05	5.00E-05	3.33E-05	5.00E-05	1.00E-04	4.75E-05	1.87E-05	2.02E-08	6.67E-05	2.72E-05	       NA	6.67E-05	       NA	1.00E-04	1.33E-04	9.07E-06	6.89E-08	6.67E-05	6.67E-05	1.53E-05	2.08E-06	4.33E-05	4.09E-05	2.35E-07	1.33E-04	0.0036	6.67E-05	0.00154	MAX	7.20E-06	3.33E-05	       NA	3.33E-05	3.33E-05	3.33E-05	      NA	MAX	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
MDAMB453	6.67E-05	3.33E-05	3.66E-05	8.32E-06	3.33E-04	4.75E-07	3.33E-04	6.24E-08	3.33E-05	1.89E-03	8.94E-05	3.95E-05	3.31E-05	3.60E-08	3.33E-05	2.92E-03	1.67E-04	3.33E-05	3.58E-05	2.08E-04	1.00E-05	6.07E-05	2.23E-05	1.46E-07	5.54E-05	5.40E-07	3.33E-05	1.67E-04	1.00E-03	6.67E-05	8.55E-07	6.85E-07	9.08E-06	5.00E-05	4.89E-06	7.08E-06	1.51E-06	1.67E-04	1.33E-04	5.76E-05	1.45E-04	2.69E-07	5.00E-03	3.33E-05	6.31E-08	5.05E-07	2.00E-04	1.18E-05	5.00E-05	2.09E-06	3.33E-06	6.63E-05	1.76E-06	6.67E-05	5.00E-05	3.33E-05	3.33E-05	5.00E-05	6.67E-05	1.67E-04	1.78E-09	6.67E-05	       NA	1.33E-04	4.02E-05	8.67E-07	1.00E-04	       NA	7.54E-06	3.72E-06	6.67E-05	6.67E-05	2.66E-05	2.16E-06	3.79E-05	3.50E-05	3.84E-07	2.00E-04	0.00317	7.36E-07	0.00742	MAX	7.20E-06	      NA	4.69E-07	      NA	      NA	3.33E-05	1.39E-05	0.000275	      NA	      NA	      NA	3.33E-05	      NA	   NA	      NA	      NA	     NA	MAX
HCC1806	6.67E-05	3.33E-05	2.00E-05	3.47E-05	1.08E-04	7.62E-07	3.33E-04	6.10E-08	1.30E-08	1.89E-03	7.21E-04	1.03E-06	7.81E-05	1.00E-04	3.33E-05	1.32E-07	1.67E-04	1.67E-04	1.20E-05	7.65E-05	4.60E-09	5.20E-05	9.94E-06	2.55E-07	1.99E-05	7.84E-07	3.33E-05	1.67E-04	7.60E-05	6.67E-05	1.53E-07	6.85E-07	2.07E-05	5.00E-05	4.55E-07	6.32E-06	5.74E-06	1.00E-04	1.33E-04	3.33E-05	1.08E-06	3.33E-05	5.00E-03	3.33E-05	6.19E-07	5.73E-07	2.00E-04	2.23E-05	5.00E-05	1.39E-06	3.33E-06	6.74E-05	2.32E-07	3.33E-05	5.00E-05	3.33E-05	3.38E-05	1.00E-04	       NA	1.67E-04	7.80E-07	6.67E-05	1.00E-04	1.33E-04	2.02E-05	7.98E-07	      NA	1.12E-04	2.58E-06	1.22E-05	6.67E-05	6.67E-05	8.98E-06	2.81E-06	9.70E-05	7.20E-05	5.50E-07	1.33E-04	0.0131	7.15E-06	0.000954	0.0047478	7.20E-06	3.33E-05	1.79E-07	3.33E-05	3.33E-05	3.33E-05	1.84E-05	MAX	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	MAX
MDAMB231	6.67E-05	3.33E-05	5.18E-05	4.37E-05	2.42E-05	6.42E-07	3.33E-04	5.21E-08	3.33E-05	1.89E-03	3.73E-04	1.97E-04	5.52E-05	1.00E-04	3.33E-05	2.92E-03	1.67E-04	1.67E-04	1.19E-05	1.35E-03	1.00E-05	6.29E-04	2.50E-05	1.00E-04	8.53E-05	9.97E-06	3.33E-05	1.67E-04	1.00E-03	6.67E-05	7.28E-08	6.85E-07	1.87E-05	5.00E-05	3.33E-05	8.98E-06	5.45E-06	1.67E-04	1.33E-04	9.45E-05	1.45E-04	3.33E-05	5.00E-03	3.33E-05	4.80E-07	6.24E-07	2.00E-04	1.33E-04	5.00E-05	1.94E-06	3.33E-06	1.67E-04	1.09E-04	6.67E-05	      NA	3.33E-05	3.33E-05	5.00E-05	6.67E-05	1.67E-04	4.64E-05	6.67E-05	3.33E-05	1.33E-04	       NA	8.41E-07	      NA	       NA	8.48E-06	3.83E-06	1.33E-04	6.67E-05	1.61E-05	2.27E-06	9.03E-05	4.01E-05	5.50E-07	       NA	MAX	       NA	MAX	MAX	7.20E-06	3.33E-05	1.30E-06	3.33E-05	3.33E-05	      NA	4.11E-05	0.001045	      NA	      NA	      NA	3.33E-05	      NA	   NA	      NA	      NA	     NA	MAX
T47D	6.67E-05	3.33E-05	5.51E-05	1.22E-05	3.33E-04	1.23E-06	3.33E-04	1.36E-08	3.33E-05	1.89E-03	1.99E-04	3.95E-05	2.30E-04	4.03E-08	3.33E-05	2.92E-03	1.67E-04	1.00E-04	1.98E-05	1.16E-03	1.00E-05	9.32E-05	3.33E-05	1.00E-04	7.38E-05	3.94E-07	3.33E-05	1.67E-04	1.00E-03	6.67E-05	9.48E-09	6.85E-07	6.67E-05	5.00E-05	3.33E-05	8.25E-06	3.58E-06	1.00E-04	6.67E-05	3.33E-05	7.22E-04	3.33E-05	5.00E-03	3.33E-05	2.98E-07	1.38E-07	2.00E-04	1.33E-04	5.00E-05	3.33E-05	3.33E-06	1.67E-04	       NA	3.33E-05	3.33E-05	3.33E-05	3.33E-05	3.33E-05	6.67E-05	1.67E-04	2.08E-05	3.33E-05	       NA	1.33E-04	6.67E-05	       NA	3.33E-05	1.33E-04	3.61E-06	       NA	1.33E-04	6.67E-05	1.71E-05	9.45E-07	2.03E-05	1.92E-05	4.76E-07	1.33E-04	0.00385	5.78E-06	0.00273	       NA	     NA	      NA	       NA	      NA	      NA	      NA	      NA	MAX	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
HCC2185	6.67E-05	3.33E-05	5.04E-05	3.63E-05	3.33E-04	5.15E-07	3.33E-04	2.38E-08	3.33E-05	1.89E-03	2.07E-04	5.92E-05	1.56E-05	4.06E-08	3.33E-05	2.92E-03	1.67E-04	1.67E-04	2.64E-05	1.79E-04	1.00E-05	4.40E-05	1.50E-05	1.00E-06	8.53E-05	2.68E-06	3.33E-05	1.67E-04	1.78E-04	6.67E-05	6.75E-09	6.85E-07	2.31E-05	5.00E-05	7.21E-06	3.33E-06	2.48E-06	1.00E-04	1.33E-04	3.33E-05	1.45E-04	3.33E-05	5.00E-03	6.67E-05	1.96E-07	4.59E-07	2.00E-04	1.13E-04	1.00E-04	3.33E-05	      NA	1.67E-04	1.09E-04	3.33E-05	5.00E-05	3.33E-05	3.33E-05	1.00E-04	6.67E-05	1.67E-04	2.55E-05	6.67E-05	1.00E-04	7.05E-06	3.68E-05	3.93E-06	1.00E-04	8.77E-05	1.00E-05	9.63E-06	6.67E-05	5.84E-05	       NA	       NA	       NA	       NA	       NA	1.33E-04	0.004188	       NA	0.00157	MAX	7.20E-06	3.33E-05	       NA	3.33E-05	      NA	3.33E-05	      NA	MAX	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
HCC1954	6.67E-05	3.33E-05	2.61E-05	3.56E-05	1.64E-05	6.37E-07	3.33E-04	1.41E-08	2.63E-08	1.89E-03	9.60E-04	6.27E-09	2.14E-05	1.00E-04	3.33E-05	2.92E-03	1.67E-04	1.67E-04	5.72E-05	9.38E-05	1.20E-08	5.14E-05	3.33E-05	1.00E-04	5.21E-05	1.62E-06	2.29E-05	1.67E-04	1.00E-03	6.67E-05	2.70E-08	6.85E-07	1.66E-05	5.00E-05	9.58E-06	1.96E-05	1.68E-05	1.00E-04	1.33E-04	2.67E-05	1.45E-04	3.33E-05	5.00E-03	6.67E-05	2.00E-06	       NA	2.00E-04	1.33E-04	5.00E-05	3.33E-05	3.33E-06	1.67E-04	1.72E-06	3.33E-05	3.33E-05	3.33E-05	3.33E-05	3.33E-05	6.67E-05	1.67E-04	3.86E-07	3.33E-05	1.27E-05	1.33E-04	6.67E-05	1.23E-06	3.33E-05	1.33E-04	4.58E-06	3.62E-06	1.33E-04	       NA	2.71E-05	1.65E-06	5.39E-05	4.27E-05	5.50E-07	       NA	0.0128	6.67E-05	      NA	0.0011007	7.20E-06	      NA	       NA	      NA	      NA	      NA	      NA	MAX	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
184A1	6.67E-05	3.33E-05	4.67E-05	1.17E-04	1.26E-04	1.07E-06	3.33E-04	2.24E-07	3.33E-05	1.89E-03	6.97E-03	2.14E-06	7.92E-06	1.00E-04	7.53E-06	2.92E-03	1.67E-04	1.67E-04	1.25E-05	4.15E-05	1.00E-05	1.57E-05	7.40E-06	6.15E-08	1.40E-05	5.45E-07	9.07E-06	1.67E-04	7.98E-06	6.67E-05	       NA	6.85E-07	3.82E-05	5.00E-05	1.73E-06	1.95E-06	7.46E-06	1.67E-04	1.33E-04	1.00E-04	5.68E-05	3.33E-05	5.00E-03	3.33E-05	3.02E-06	3.13E-07	2.00E-04	1.33E-04	5.00E-05	3.33E-05	3.33E-06	1.80E-05	1.09E-04	6.67E-05	5.00E-05	3.33E-05	2.47E-05	5.00E-05	6.67E-05	       NA	       NA	6.67E-05	3.33E-05	1.33E-04	2.26E-05	1.17E-06	1.00E-04	2.51E-05	5.03E-06	1.82E-06	6.67E-05	2.93E-05	3.33E-05	       NA	       NA	       NA	       NA	2.00E-04	0.0136	       NA	      NA	0.0005552	7.20E-06	3.33E-05	4.09E-08	3.33E-05	3.33E-05	1.52E-05	      NA	0.000426	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
600MPE	6.67E-05	3.33E-05	3.12E-05	4.08E-05	3.33E-04	4.94E-07	3.33E-04	6.18E-07	3.33E-05	1.89E-03	6.98E-04	1.97E-04	6.28E-05	1.00E-04	3.33E-05	2.92E-03	1.67E-04	1.67E-04	8.83E-06	4.70E-04	1.00E-05	1.27E-04	2.36E-05	1.00E-04	7.38E-05	1.24E-05	3.33E-05	1.67E-04	3.58E-04	6.67E-05	       NA	6.85E-07	2.37E-05	5.00E-05	5.22E-06	5.92E-06	2.12E-05	1.00E-04	1.33E-04	3.33E-05	1.45E-04	3.33E-05	5.00E-03	3.33E-05	9.95E-07	6.46E-07	2.00E-04	2.67E-05	5.00E-05	1.60E-06	3.33E-06	1.00E-04	       NA	3.33E-05	5.00E-05	3.33E-05	3.60E-05	1.00E-04	6.97E-06	1.61E-04	4.18E-05	6.67E-05	1.00E-04	1.33E-04	       NA	       NA	1.00E-04	1.27E-04	1.05E-05	7.35E-06	6.67E-05	6.67E-05	2.18E-05	2.97E-06	8.91E-05	6.60E-05	5.50E-07	1.33E-04	MAX	6.67E-05	0.00165	0.00111	     NA	3.33E-05	2.80E-07	3.33E-05	3.33E-05	3.33E-05	1.95E-05	MAX	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
BT483	6.67E-05	3.33E-05	2.15E-04	7.50E-05	3.33E-04	1.53E-07	3.33E-04	1.67E-04	3.33E-05	1.89E-03	1.06E-03	2.19E-05	2.02E-04	1.00E-04	3.33E-05	2.92E-03	1.67E-04	1.67E-04	2.72E-05	6.46E-04	1.00E-05	6.29E-04	2.66E-05	2.94E-05	8.53E-05	5.96E-05	3.33E-05	1.67E-04	7.51E-04	6.67E-05	       NA	6.85E-07	6.67E-05	5.00E-05	3.33E-05	8.77E-06	1.19E-05	8.62E-05	1.33E-04	3.33E-05	7.22E-03	3.33E-05	5.00E-03	6.67E-05	8.03E-07	6.22E-06	2.00E-04	1.33E-04	1.00E-04	3.33E-05	3.33E-06	1.20E-04	4.23E-05	3.33E-05	5.00E-05	6.67E-05	5.00E-05	1.00E-04	6.67E-05	1.67E-04	6.04E-06	      NA	1.00E-04	1.33E-04	       NA	3.82E-05	1.00E-04	4.26E-05	       NA	1.84E-05	      NA	5.54E-05	       NA	       NA	       NA	       NA	       NA	1.33E-04	0.008496	       NA	      NA	0.00606	7.20E-06	      NA	1.34E-07	      NA	      NA	      NA	      NA	MAX	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
HCC1395	6.67E-05	3.33E-05	3.57E-05	8.51E-05	3.33E-04	9.10E-07	3.33E-04	2.46E-08	3.33E-05	1.89E-03	1.45E-03	3.95E-05	8.05E-06	1.00E-04	3.33E-05	2.92E-03	1.67E-04	1.59E-04	1.25E-05	7.14E-05	1.00E-05	5.89E-05	3.33E-05	2.64E-05	2.99E-05	3.69E-06	3.33E-05	1.67E-04	2.74E-04	6.67E-05	       NA	6.85E-07	2.66E-05	5.00E-05	5.57E-06	3.91E-06	9.53E-06	1.67E-04	1.33E-04	2.84E-05	1.45E-04	3.33E-05	5.00E-03	6.67E-05	1.44E-06	5.74E-07	2.00E-04	1.80E-05	1.00E-04	1.32E-06	3.33E-06	1.67E-04	1.04E-06	6.67E-05	5.00E-05	3.33E-05	4.31E-05	3.41E-05	6.67E-05	1.31E-04	1.55E-08	6.67E-05	3.91E-06	1.33E-04	3.34E-05	5.30E-06	1.00E-04	6.77E-05	5.83E-06	7.47E-06	6.67E-05	5.97E-05	1.97E-05	       NA	7.88E-05	8.03E-05	5.50E-07	6.41E-06	MAX	6.67E-05	0.0101	MAX	7.20E-06	3.33E-05	       NA	3.33E-05	3.33E-05	3.33E-05	      NA	MAX	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
